kata,terjemahan,penjelasan_arti,contoh
Ngetok,Tidur yang membengkokkan kaki,,
Nyerungkong,Jongkok,,
Ningkap,Tiarap,,
Nungkup,Telungkup,,
Ngelatap,Tidak bisa diam,,
Ngelappar,Tidak bisa diam seperti orang kesetanan,,
Ngelek,Menggelengkan kepala / tidak,,
Ne'k,Orang yang berumur,,
Nek aki,Kaki,,
Nek uwan,Nenek,,
Ndak ke,Tidak kah / bukan begitu,,
Ngkoset,Tidak sama sekali,,
Ngidum,Senyum tertahan,,
Ngeracau,Tak bisa diam / ngomel / berkicau,,
Ngelotok,Lepas dari tempelan,,
Nillik,Ngintip,,
Ngeraok,Teriak,,
Ngimbai,Ngikut,,
Nunda'k,Minta ikut,,
No'k,Punya,,
No'ong,Punya dia,,
Nyangge'k (menyiangi),Membersihkan,,
Ngannyat,Menjadi kebiasaan,,
Ngael,Memancing ikan,,
Ngille'k,Ke hilir,,
Ngullu,Ke hulu,,
Ngillok / nyillo'k,Nyilu tulang  / badan,,
Ngallu,Nyilu kepala / susah / pening,,
Nyompel,Masuk sebagian,,
Nagllie'k,Ngelucu / membuat lelucon,,
Ore,Seandainya,,
Ocon,Anak terahir,,
Odeng,Sayang,,
Paik,Mustahil,,
Pak tua'k,Paman,,
Petunggalan,Sepupu,,
Parang,Senjata tajam untuk kesawah,,
Panne / pangge,Telinga berdesing akibat suara yang memekakkan,,
Parang kutting,Parang yang tidak bertungkai,,
Parang majok,Parang untuk memotong kayu,,
Palat,Kemaluan pria,,
Pengajal,Apa saja dimainkan / usil,,
Pengelan (panggelan),Memenuhi undangan,,
Peneget,Pemotong kepala (orang),,
Passok,Berlubang,,
Pinggan,Piring,,
Pippe'k,Posisi duduk wanita,,
Pippeh,Tipis,,
Penculik (pencolek),Spatula / sodet,,
Pantas (v),Lihai / cepat kerjanya,,
Pantasan,Patutlah,,
Pangkeng,Tempat tidur tinggi dan berkelambu,,
Pungka',Awal,,
Polah,Buat,,
Ponten,Nilai,,
Punat,Inti,,
Palle'k,Pelit,,
Paller,Kelamin pria,,
Penjawan,Jendela,,
Pelasser,Jalan-jalan / liburan,,
Panas kotang,(baju) singlet,,
Pepe'k,Kelamin perempuan,,
Pakattan,Sumbangan / bantuan,,
Pakkat,Sepakat / mufakat,,
Pakkat (pekat),,,
Pongah,Canda / gurau,,
Pittok,Pojok,,
Peracca'k,Kain sisa yang tidak terpakai / pakaian bekas,,
Pitau,Kehilangan arah,,
Raggang,Menahan sesuatu agar tidak bergerak,,
Ranggup,Renyah / garing,,
Ragi / beragi,Membicarakan orang lain / mencibir,,
Reken,Hitung,,
Ranah,Areal,,
Rampo',Di tempat itu,,
Rioh,Berisik,,
Ribut,Hingar-bingar,,
Ribbut,Hujan deras sekali,,
Rambau,Banyak sobekan,,
Raja'k,Tampan,,
Raban,Kurungan,,
Rabban,Ngeri / takut di ketinggian,,
Rasbang,Tempat tidur  / dipan,,
Redang,Talam,,
Rubboh (roboh),Rusak,,
Reto'k,Pelit / perhitungan,,
Raggak,Sendawa,,
Rudu (tuju),Arah,,
Rattong,Gosong / hangus,,
Ribbe,Bimbang / tidak ikhlas,,
Sutte',Satu,,
Sigge',Satu,,
Salo'k,Rindu,,
Sappor,Gurih,,
Semari,Kemarin,,
Selepar,Sandal jepit,,
Se'an,Tidak ada,,
Sunsong,Kembalian,,
Sirah,Koyak / sobek,,
Singkol,Serba salah,,
Serampah,Kecelakan / terjatuh dari jalan kaki atau berlari,,
Simanar,Sungguh-sungguh,,
Suddo'k,Sendok,,
Sontet,Suntik,,
Seliri,Keranda mayat,,
Sidaddang,Acap kali,,
Siok,Dapur,,
Singakal,Main curang,,
Selao'k,Terseleo / terpilir,,
Segantang,Seukuran tertentu,,
Sarro'k,Panggil,,
Selawar (seluar),Celana dalam,,
Surongan,Laci,,
Sedunni,Kasur / tilam,,
Sadde,Bodoh {halus},,
Sullah,Dahi yang luas karena rambut rontok,,
Suppan,Sungkan / malu,,
Subbang,Anting-anting,,
Sontok,Miskin,,
Sorang (seorang),Sendirian,,
Siyok / suyyok,Dapur,,
Salling,Ganti / tukar,,
Somo,Topi / peci,,
Songkok,Peci solat,,
